"Model","Cluster","Absolute Humidity (14-day Lag)","Retail and Recreation (14-day Lag)","Grocery Stores and Pharmacies (14-day Lag)","Parks (14-day Lag)","Transit Stations (14-day Lag)","Workplaces (14-day Lag)","Residential (14-day Lag)","Immunity Factor","New Cases per 100,000 (14-day Lag)","FIPS"
"Retail and Rec (Oct 2020 - Mar 2021)","Low 1",1.37736776958659,2.57773708438697,NA,NA,NA,NA,NA,1.62539289124078,1.22286375483635,1.04125822478664
"Grocery and Pharmacy (Oct 2020 - Mar 2021)","Low 1",1.36667275504952,NA,2.64174485528963,NA,NA,NA,NA,1.52728406396713,1.16830460463636,1.04182685434328
"Parks (Oct 2020 - Mar 2021)","Low 1",1.39360125876486,NA,NA,1.98084365795324,NA,NA,NA,1.70297347205791,1.14158725176933,1.0326535283221
"Transit (Oct 2020 - Mar 2021)","Low 1",1.38036834278537,NA,NA,NA,3.19638785527555,NA,NA,1.59120536142855,1.17012042377539,1.04905789518686
"Workplaces (Oct 2020 - Mar 2021)","Low 1",1.38087533607328,NA,NA,NA,NA,1.74412246633958,NA,1.52134969976986,1.17770812019106,1.02985818084549
"Residential (Oct 2020 - Mar 2021)","Low 1",1.4098908686399,NA,NA,NA,NA,NA,2.21123407454971,1.7843320038148,1.24580417043735,1.03527448711175
"All (Entire Year)","Low 1",1.37065672923308,3.9006203047433,2.96501613748881,2.32735851190403,3.02072940799508,3.17081634325307,4.00888510525269,1.71079475340486,1.21697918160514,1.08901432093779
"Absolute Humidity (Entire Year)","Low 1",1.28495026950125,NA,NA,NA,NA,NA,NA,1.41947423252139,1.1701095198337,1.00949925959293
"Retail and Rec (Entire Year)","Low 1",1.31475709633152,1.72749056688599,NA,NA,NA,NA,NA,1.42133644754757,1.20303844089107,1.02344189455738
"Grocery and Pharmacy (Entire Year)","Low 1",1.29598539860341,NA,1.94123239752559,NA,NA,NA,NA,1.4499677971577,1.19442800721286,1.02597757626834
"Parks (Entire Year)","Low 1",1.34758450874352,NA,NA,1.76837100411321,NA,NA,NA,1.49050025592718,1.18092487918034,1.02235123520916
"Transit (Entire Year)","Low 1",1.28766077813279,NA,NA,NA,2.07036920338157,NA,NA,1.42558496590179,1.17943268243309,1.02905423482334
"Workplaces (Entire Year)","Low 1",1.28821885969642,NA,NA,NA,NA,1.37450545734803,NA,1.42050889268604,1.18719021063621,1.01770012926681
"Residential (Entire Year)","Low 1",1.30129918801043,NA,NA,NA,NA,NA,1.39339339740178,1.42088513209865,1.21072876610822,1.01774453384564
"All (Mar 2020 - Sep 2020)","Low 2",2.58252005560723,4.49918283539733,3.17520261377362,3.26848101769402,3.46187068759763,4.66612265417914,6.35674230641156,2.5221860168842,1.10330136697621,1.11176533317626
"Absolute Humidity (Mar 2020 - Sep 2020)","Low 2",1.64800404517455,NA,NA,NA,NA,NA,NA,1.75480216949199,1.07537272519552,1.01286557233271
"Retail and Rec (Mar 2020 - Sep 2020)","Low 2",2.00448488565451,1.95554262660287,NA,NA,NA,NA,NA,1.84328591171512,1.07253074801977,1.01814814484048
"Grocery and Pharmacy (Mar 2020 - Sep 2020)","Low 2",1.92288625678521,NA,1.68808750902346,NA,NA,NA,NA,1.75018347893492,1.07551109432379,1.02554320061539
"Parks (Mar 2020 - Sep 2020)","Low 2",2.1553256328846,NA,NA,2.53823564943725,NA,NA,NA,1.75312518635603,1.0787741213258,1.03347442151989
"Transit (Mar 2020 - Sep 2020)","Low 2",1.89597203950572,NA,NA,NA,2.21218064483187,NA,NA,1.80052412834453,1.07339009001385,1.03150369140317
"Workplaces (Mar 2020 - Sep 2020)","Low 2",1.91127817910085,NA,NA,NA,NA,1.66574791136643,NA,1.74498415264985,1.07024854513447,1.02326936913098
"Residential (Mar 2020 - Sep 2020)","Low 2",2.08737240414087,NA,NA,NA,NA,NA,1.94077284497871,1.77364075316015,1.0725225283894,1.0204236039045
"All (Oct 2020 - Mar 2021)","Low 2",1.9370748254477,3.35666681072275,4.1617562844271,2.82587601065596,3.41085978189309,3.39612819674147,5.44850526786464,2.26501332727846,1.1526463459141,1.16286510082348
"Absolute Humidity (Oct 2020 - Mar 2021)","Low 2",1.63991283400952,NA,NA,NA,NA,NA,NA,1.89572398710232,1.18580028753793,1.020364568192
"Retail and Rec (Oct 2020 - Mar 2021)","Low 2",1.73432626793447,1.76242601215269,NA,NA,NA,NA,NA,1.89941622215856,1.18714107949468,1.03502177273315
"Grocery and Pharmacy (Oct 2020 - Mar 2021)","Low 2",1.65897455501059,NA,2.9588338599475,NA,NA,NA,NA,1.88793483455476,1.18247011758267,1.05353791597541
"Parks (Oct 2020 - Mar 2021)","Low 2",2.01518745021513,NA,NA,2.29199553167232,NA,NA,NA,2.00042869669388,1.20234942583438,1.04056141534685
"Transit (Oct 2020 - Mar 2021)","Low 2",1.69618451684166,NA,NA,NA,2.54575132793128,NA,NA,1.92859910865331,1.18967747461947,1.04648115790826
"Workplaces (Oct 2020 - Mar 2021)","Low 2",1.67688260302563,NA,NA,NA,NA,1.44130175234983,NA,1.96044751803926,1.17885533455975,1.0295178252961
"Residential (Oct 2020 - Mar 2021)","Low 2",1.7356065943107,NA,NA,NA,NA,NA,1.97102047382073,2.13798524657307,1.17259393662952,1.03607490907039
"All (Entire Year)","Low 2",1.78622615279926,3.32701160956405,3.08869040169248,2.34262574488047,2.51085746437043,3.31279360531649,4.61045392106653,1.90307750872561,1.27575853535462,1.08493644232718
"Absolute Humidity (Entire Year)","Low 2",1.32028459022772,NA,NA,NA,NA,NA,NA,1.49401627611062,1.25820219810732,1.01275391305799
"Retail and Rec (Entire Year)","Low 2",1.3826952642838,1.21960423723534,NA,NA,NA,NA,NA,1.54676995607458,1.27579919980816,1.016509227814
"Grocery and Pharmacy (Entire Year)","Low 2",1.36585588888546,NA,1.82087073535539,NA,NA,NA,NA,1.50424815351513,1.26772727101907,1.02761917458242
"Parks (Entire Year)","Low 2",1.74786935714474,NA,NA,1.99538174803104,NA,NA,NA,1.53522460771312,1.2340500400762,1.02332617560578
"Transit (Entire Year)","Low 2",1.37539883339774,NA,NA,NA,1.61093190995566,NA,NA,1.49253088385231,1.25538327233364,1.02241759893111
"Workplaces (Entire Year)","Low 2",1.32264450898342,NA,NA,NA,NA,1.20469332390252,NA,1.52756340744553,1.27068918874666,1.01540534326532
"Residential (Entire Year)","Low 2",1.36625378646148,NA,NA,NA,NA,NA,1.20558272059601,1.51150780567185,1.27447860735455,1.01531224476254
"All (Mar 2020 - Sep 2020)","Mid 1",1.87288410765232,6.16205347378111,2.59656446380683,2.72015579461291,5.81760734812513,8.68758848500672,10.5627092597598,2.14402956745989,1.56348211533286,1.03468850770758
"Absolute Humidity (Mar 2020 - Sep 2020)","Mid 1",1.32616032573571,NA,NA,NA,NA,NA,NA,1.62669970599426,1.35410673802439,1.00379341137428
"Retail and Rec (Mar 2020 - Sep 2020)","Mid 1",1.36189897423048,1.26481729311755,NA,NA,NA,NA,NA,1.73372873201635,1.39505845017221,1.00456253097861
"Grocery and Pharmacy (Mar 2020 - Sep 2020)","Mid 1",1.36153865078853,NA,1.48135771599069,NA,NA,NA,NA,1.76721757916221,1.41392429692044,1.00579640516086
"Parks (Mar 2020 - Sep 2020)","Mid 1",1.63198991685579,NA,NA,2.08095984552384,NA,NA,NA,1.63295125700129,1.37657002749772,1.00989750216741
"Transit (Mar 2020 - Sep 2020)","Mid 1",1.32850493366643,NA,NA,NA,1.38901583498126,NA,NA,1.66863726565117,1.40416138096462,1.00583604466067
"Workplaces (Mar 2020 - Sep 2020)","Mid 1",1.32374323183246,NA,NA,NA,NA,1.26616701931083,NA,1.73182759514001,1.40942499912272,1.00471726648006
"Residential (Mar 2020 - Sep 2020)","Mid 1",1.34281651935843,NA,NA,NA,NA,NA,1.33386383159517,1.68422692315826,1.42027616163197,1.00526296791005
"All (Oct 2020 - Mar 2021)","Mid 1",1.87254262651465,3.54225363429012,2.4680066264454,2.61141870520094,3.83420542455998,3.57933663273873,5.71189519408464,2.08348285162506,1.3114047446677,1.04402339374838
